stop_id,stop_name
1314,Fullerton & Karlov
1315,Fullerton & Pulaski
1316,Fullerton & Springfield
1317,Fullerton & Hamlin
1319,Fullerton & Lawndale
1320,Fullerton & Central Park
1321,Fullerton & St. Louis
1322,Fullerton & Kimball
1323,Fullerton & Spaulding
1324,Fullerton & Kedzie
1326,Fullerton & Albany
1327,Fullerton & Sacramento
1329,Fullerton & California
1330,Fullerton & Washtenaw
1332,Fullerton & Campbell
1333,Fullerton & Western
1334,Fullerton & Oakley
1339,Fullerton & Wood
1340,Fullerton & Clybourn
1345,Fullerton & Racine
1346,Fullerton & Seminary
1348,Fullerton & Halsted/Lincoln
1349,Halsted & Belden
1350,Webster & Halsted
1351,Webster & Orchard
1352,Lincoln & Webster
1353,Lincoln & Belden/Orchard
1354,Devon & Kedzie Terminal
1355,McCormick & Devon
1356,Lincoln & McCormick/Kimball
1357,Lincoln & Jersey
1358,Lincoln & Kedzie
1359,Lincoln & Peterson
1360,Lincoln & Whipple
1361,Lincoln & Sacramento
1362,Lincoln & Francisco
1363,Lincoln & California
1364,Lincoln & Washtenaw
1365,Lincoln & Bryn Mawr
1367,Lincoln & Balmoral
1368,Lincoln & Berwyn
1370,Lincoln & Carmen
1371,Lincoln & Winnemac
1372,Lincoln & Argyle
1373,Ainslie & Western
1375,Leland & Western (Brown Line)
1400,Lincoln & Belden/Orchard
1401,Lincoln & Webster
1402,Lincoln & Dickens/Cleveland
1403,Lincoln & Armitage/Sedgwick
1405,Armitage & Clark
1409,Clark & Menomonee
1410,LaSalle & Eugenie
1411,LaSalle & North Ave
1412,LaSalle & Burton
1413,LaSalle & Schiller
1414,LaSalle & Goethe
1415,LaSalle & Division
1417,LaSalle & Oak
1418,LaSalle & Delaware
1419,LaSalle & Chestnut
1421,Wacker (Upper) & Michigan
1423,State & Lake
1425,State & Washington
1427,State & Monroe
1429,State & Jackson
1430,State & Van Buren
1431,State & Harrison/Ida B Wells Drive
1437,State & Randolph
1438,State & Lake
1439,State & E. Wacker
1443,LaSalle & Delaware
1444,LaSalle & Oak
1445,LaSalle & Maple
1446,LaSalle & Division
1447,LaSalle & Goethe
1448,LaSalle & Schiller
1449,LaSalle & Burton
1450,LaSalle & North Ave
1451,Clark & LaSalle
1456,Lincoln & Dickens/Cleveland
1483,Western Brown Line Station
1486,Ainslie & Western
1487,Lincoln & Argyle
1488,Lincoln & Winnemac
1489,Lincoln & Carmen
1491,Lincoln & Berwyn
1492,Lincoln & Balmoral
1493,Lincoln & Catalpa
1494,Lincoln & Bryn Mawr
1495,Lincoln & Washtenaw
1497,Lincoln & Francisco
1498,Lincoln & Richmond
1499,Lincoln & Sacramento
1500,Lincoln & Whipple
1502,Lincoln & Peterson
1503,Lincoln & Kedzie
1504,Lincoln & Jersey
1505,Lincoln & McCormick/Kimball
1507,McCormick & Devon
1510,Stony Island & 62nd Street
1511,Stony Island & 61st Street
1512,Stony Island & 60th Street
1513,Stony Island & 59th Street
1514,5800 S Stony Island
1515,Stony Island & 57th Drive
1517,S Hyde Park & 56th Street
1518,S Hyde Park & 55th Street
1519,5440 S S Hyde Park
1520,S Hyde Park & 54th Street
1521,S Hyde Park & 53rd Street
1522,5200 S S Hyde Park
1523,E Hyde Park & East End
1524,E Hyde Park & Cornell
1525,E Hyde Park & Lake Park
1527,E Hyde Park & Dorchester
1528,E Hyde Park & Kenwood
1529,E Hyde Park & Kimbark
1530,E Hyde Park & Woodlawn
1533,E Hyde Park & Ellis
1535,51st Street & Cottage Grove
1536,51st Street & Evans
1537,51st Street & Champlain
1538,51st Street & St. Lawrence
1539,51st Street & Forrestville
1540,51st Street & King Drive
1541,51st Street & King Drive
1542,51st Green Line Station
1543,51st Street & Indiana
1554,Indiana Green Line Station
1560,Indiana & 34th Street
1562,Indiana & 32nd Street
1563,Indiana & 31st Street
1564,3000 S Michigan
1565,Michigan & 29th Street
1566,Michigan & 28th Street
1567,Michigan & 26th Street
1568,Michigan & 25th Street
1570,Michigan & 23rd Street
1573,Michigan & 21st Street
1574,Michigan & Cullerton
1575,Michigan & 18th Street
1579,Michigan & 13th Street
1580,Michigan & Roosevelt
1581,Michigan & 11th Street
1582,Michigan & 9th Street
1583,Michigan & 8th Street
1584,Michigan & Balbo
1586,Michigan & Harrison
1587,Michigan & Balbo
1588,Michigan & 8th Street
1589,Michigan & 9th Street
1590,Michigan & 11th Street
1591,Michigan & Roosevelt
1592,Michigan & 13th Street
1593,Michigan & 14th Street
1595,Michigan & 16th Street
1596,Michigan & 18th Street
1597,Michigan & Cullerton
1598,Michigan & 21st Street
1599,Michigan & Cermak
1602,Michigan & 25th Street
1603,Michigan & 26th Street
1604,Michigan & 28th Street
1605,Michigan & 29th Street
1606,3000 S Michigan
